text,label
yes it was okay,77
oh awesome!,77
يبدو ذلك جيدا!,77
يا هذا رائع,77
انطلق,77
good.,77
lets do this,77
yes.,77
yeeees,77
that's great,77
yes sirfr,77
thats fine,77
موافق.,77
هيا بنا نقوم بذلك,77
please,77
absolutely,77
إنطلق,77
قصة رائعة يا أخي,77
yes please,77
si,77
شيء مؤكد,77
أعلى,77
هذا يبدو جيدًا,77
لا تقلق,77
Yup,77
يييس,77
ok...,77
قبول,77
definitely yes without a doubt,77
yes I do,77
نعم نعم نعم,77
موافق...,77
لقد حصلت علي ، أنا أقبل ، إذا كنت تريد مني ذلك,77
ys,77
نعم ...,77
هذا جيد,77
ok fine,77
اوه رائع!,77
حسنًا بالتأكيد,77
YUP,77
yess,77
نعم هذا لطيف,77
done,77
yeah sure,77
حسنًا ، سارة,77
I changed my mind. I want to accept it,77
yes that's what i want,77
نعم اذهب لذلك,77
أجل رائع,77
yep,77
ja,77
yyeeeh,77
حسنا,77
نعم، أنا أحب أن,77
i will!,77
Yep that's fine,77
إي نعم,77
نعم حبيبي,77
yes great,77
نعم انا,77
i accept,77
yes baby,77
Yes please,77
نعم، ذلك عظيم,77
نوعا ما,77
ك ك,77
yep thats cool,77
Yea,77
k,77
في احسن الاحوال,77
أوكي دوكي,77
إطلاقا,77
ya thats cool,77
okay cool,77
yesss,77
بالتأكيد,77
حسنا لنبدأ,77
well yes,77
اذهب,77
considering,77
awesome,77
it is ok,77
ok I behave now,77
Yepp,77
تسير بشكل جيد للغاية,77
نعم',77
yres,77
yas,77
انا سوف!,77
hell yeah,77
لقد استخدمتها في الماضي,77
رائع,77
Oh yes,77
جو,77
نعم أريد ذلك,77
ya cool,77
yes accept please,77
هذا جيّد,77
رائعة حقا!,77
hell yes,77
نعم هذا رائع,77
ja thats great,77
حسنا..,77
يا من فضلك,77
yes i am,77
اللعنة نعم!,77
yep. :/,77
ok good,77
نعم أفعل,77
Okay cool,77
thats great,77
بلى,77
accepted,77
نعم من فضلك,77
و,77
Yes I accept,77
ez,77
نعم ، لما لا,77
agreed,77
how nice!,77
cool story bro,77
kk,77
ok sara,77
حسنًا ، رائع,77
أفعل,77
Ofcourse,77
really,77
اريد ذلك,77
I'd absolutely love that,77
أنا متأكد من أني سوف!,77
نعم لدي!,77
Ok,77
نعم '=,77
great!,77
yes go for it,77
ياس,77
yeah,77
yes please!,77
a little,77
yesyestyes,77
yes it is,77
نعم تستطيع,77
okie,77
top,77
ah ok,77
yes of course,77
متفق عليه,77
ye splease,77
oki doki,77
sure!,77
نعم بالتأكيد,77
أحصل عليه,77
yeah why not,77
oh super,77
لقد سألتني سؤالاً بنعم أو لا ، فأجبته بنعم,77
حسنا جيد,77
نعم طبعا,77
hm i'd like that,77
ya go for it,77
amazing!,77
ك,77
أنا سوف,77
lets do it,77
I agree,77
حسنا سارة,77
y,77
أجل أقبل,77
yop,77
Ok let's start,77
I will,77
I am using it,77
لطيف,77
oh good !!,77
نعم ، سأفعل شكرا لك,77
نعم إذا اضطررت لذلك,77
Sweet,77
Yes,77
yaps,77
نعم هذا ما أريده,77
بالتأكيد!,77
i am!,77
أوه عظمى,77
yep if i have to,77
Okay!,77
القليل,77
اه هاه,77
وافقت,77
حسنًا ، أنا أتصرف الآن,77
تؤكد,77
Yesyestyes,77
نعم الجحيم,77
ofcoure i do,77
ok i accept,77
accept,77
yes give me information,77
ok Sara,77
go for it,77
oui,77
fcourse,77
ya please,77
عظيم,77
I'm using it,77
جيز,77
YES,77
ye,77
حلو,77
yes pls,77
yes i accept,77
yap,77
كم هو جميل!,77
perfect,77
رائع!,77
بالطبع أفعل,77
نَعَم,77
جيد.,77
okay..,77
yes I'd love to,77
نعم أنا أقبل,77
رجاء,77
I guess so,77
thats good,77
yes i agree,77
